Data,Grupo,Quantidade
06/10/2025,COP-SAP MOBILE,18
06/10/2025,APOIO-COP-SEDE,17
06/10/2025,COP-SAP SD-3N,11
06/10/2025,COP-SAP LES,10
06/10/2025,COP-SAP LES-3N,9
06/10/2025,COP-ORIENTAÇÃO-GRC,8
06/10/2025,COP-TELECOM,8
06/10/2025,COP-SAP-FRETES,7
06/10/2025,COP-INFRA,6
06/10/2025,APOIO-COP-UNIDADES,6
06/10/2025,COP-WEB-PORTAL,6
06/10/2025,APOIO-COP-ACESSO,6
06/10/2025,COP-SAP SD,5
06/10/2025,COP-SAP MOBILE-3N,4
06/10/2025,COP-GESTAO,4
06/10/2025,APOIO-COP-CELULAR,3
06/10/2025,PROD-COP-NOC,3
06/10/2025,COP-SAP FI,3
06/10/2025,COP-SUPORTE-XML-TI,3
06/10/2025,COP-GMI-SMIL-SUSTENTAÇÃO,3
06/10/2025,COP-IMPRESSORA,2
06/10/2025,COP-SAP CO-3N,2
06/10/2025,COP-OneID-Suporte,2
06/10/2025,COP-SAP FI-3N,2
06/10/2025,COP-RECONCILIAÇÃO,2
06/10/2025,COP-SAP-SD-TRIBUTARIO,2
06/10/2025,COP-SAP NFE-3N,2
06/10/2025,COP-SAP-NFE,2
06/10/2025,COP-AUT-SAP-LOGÍSTICA-SD/CPR/ZRF,2
06/10/2025,COP-AUT-SAP-LOGÍSTICA-LES,2
06/10/2025,COP-SHAREPOINT,2
06/10/2025,COP-SAP MM,2
06/10/2025,COP-TRUSTY,1
06/10/2025,Service Desk (L1),1
06/10/2025,COP-SAP-LES-LOG,1
06/10/2025,COP-SENIOR,1
06/10/2025,COP-ACESSO-SAP,1
06/10/2025,APOIO-COP-SD,1
06/10/2025,COP-SEGURANÇA,1
06/10/2025,COP-APLIC-NOTES,1
06/10/2025,COP-SAP MM-3N,1
06/10/2025,COP-SAP-LES-TRIBUTARIO,1
06/10/2025,COP-AUT-SAP-LOGÍSTICA-SD,1
06/10/2025,COP-AUT-SAP-SUP-VENDAS-ADM,1
06/10/2025,COP-SAP BASIS,1
06/10/2025,COP-FAT MOVEL,1
06/10/2025,COP-OUTLOOK,1
06/10/2025,PROD-COP-TOKEN,1
